DATE,SHARE CODE,ISSUER NAME,BANK,GOVERNMENT,PRIVATE EQUITY,TRUSTEE BANK,VENTURE CAPITAL,PRIVATE BANK,EXCHANGE TRADED FUNDS,INVESTMENT MANAGER,INVESTMENT ADVISORS,BROKERAGE FIRMS,HEDGE FUND,SOVEREIGN WEALTH FUND,CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS,COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP,FIRM,INVESTMENT FUND SELLING AGENT,PEER TO PEER LENDING,PERMANENT ESTABLISHMENT,SOLE PROPRIETORSHIP,CORPORATE,ASSOCIATION/SOCIAL ORGANIZATIONS,STATE OWNED ENTERPRISES,CENTRAL BANK,STATE OWNED COMPANY,DIOCESE,CONFERENCE,CONGREGATION,COOPERATIVES,INTERNATIONAL ORGANIZATION,POLITICAL PARTIES,PARTNERSHIP,EDUCATIONAL INSTITUTION,MUTUAL FUNDS (MF),SECURITIES COMPANY (SC),PENSION FUNDS (PF),FINANCIAL INSTITUTIONAL (IB),INSURANCE (IS),FOUNDATION (FD),INDIVIDUAL (ID),TOTAL SCRIPLESS
31-Mar-2026,MYOR,MAYORA INDAH Tbk,38859000,95500,10132455,5332275,0,19241498,48911554,4978625,47584423,122851,110313033,345056575,13149496,320800,2000,0,30000,0,1200000,291018050,0,8590300,354200,50340000,350000,1250,426800,1825,0,0,0,200,1210422055,9054844,211441952,938850,801761000,25854575,209893389,3465903125
31-Mar-2026,MYTX,ASIA PACIFIC INVESTAMA Tbk,60529000,0,0,0,378800,0,0,0,800,7500,0,0,100,0,0,5662429162,0,0,12500,1561919754,0,0,0,0,0,0,0,0,0,0,0,0,0,13903,0,0,0,0,413510079,7698801598
31-Mar-2026,NAIK,ADIWARNA ANUGERAH ABADI Tbk,56000,0,0,0,0,0,0,0,22554800,0,0,0,0,150000,0,0,0,0,0,1825030600,0,0,0,0,0,0,0,0,0,0,0,0,0,1598600,0,0,0,0,1478004080,3327394080
31-Mar-2026,NANO,NANOTECH INDONESIA GLOBAL Tbk,2089700,0,310800,0,225000000,0,0,0,2047464987,0,0,0,100,0,0,0,67585800,0,0,2017300,0,0,0,0,0,0,0,40000,0,0,0,0,0,2089550,0,150000000,0,300,1788841732,4285440269
31-Mar-2026,NASA,ANDALAN PERKASA ABADI  Tbk,4942,0,0,0,327000000,0,0,117082300,547410000,118,0,0,100,14484,0,0,0,0,0,6913488573,0,258823128,0,54800,0,0,0,0,0,0,0,0,1445466550,47859901,233876,0,52498965,40479,1294951106,11004929322
31-Mar-2026,NASI,WAHANA INTI MAKMUR Tbk,6964700,0,0,0,0,0,0,0,6471500,0,0,0,100,0,0,0,0,0,0,24245100,0,0,0,0,0,0,0,0,0,0,0,0,0,637100,0,0,0,0,201681500,240000000
31-Mar-2026,NATO,SURYA PERMATA ANDALAN Tbk,26797700,0,0,0,0,0,0,0,1121559064,0,0,0,100,0,0,0,0,0,0,6309809786,0,0,0,0,0,0,0,0,0,0,0,0,330616000,1600,31745000,0,156081050,0,24501204,8001111504
31-Mar-2026,NAYZ,HASSANA BOGA SEJAHTERA TBK,1051500,0,100,0,0,0,0,0,18399994,0,0,0,1250100,0,0,0,0,0,0,1661228700,0,0,0,0,0,0,0,0,0,0,0,0,0,1240000,0,0,0,0,866841078,2550011472
31-Mar-2026,NCKL,TRIMEGAH BANGUN PERSADA Tbk,1875087109,15566121,36049100,25449300,0,15945900,143876540,1195200,221190400,12655064,17252700,4921339,14653200,5020100,68500,0,0,0,0,6799100415,0,0,1119600,34381100,350000,0,0,6000,6456800,0,0,0,1517421515,33756824,345796373,20927500,534939700,12530600,1541441000,13237158000
31-Mar-2026,NELY,PELAYARAN NELLY DWI PUTRI Tbk,0,0,0,0,0,0,0,5276200,921600,0,0,0,100,5150000,0,0,0,0,0,2160355900,0,0,0,0,0,0,0,0,0,0,0,0,0,2413200,0,0,0,54600,175191100,2349362700
31-Mar-2026,NEST,ESTA INDONESIA Tbk,0,0,50000000,0,0,206000000,0,0,9272200,0,0,0,0,0,0,0,0,0,0,531908700,0,0,0,0,0,0,0,0,0,0,0,0,0,5990300,0,0,0,0,3309328800,4112500000
31-Mar-2026,NETV,MDTV MEDIA TECHNOLOGIES Tbk,778850,0,0,0,0,46500000,0,0,5300,0,0,0,18549100,27700,0,0,0,0,0,6990522203,0,0,0,0,0,0,0,0,0,0,0,0,9300000,164515750,0,0,0,100,1020431553,8250630556
31-Mar-2026,NFCX,NFC INDONESIA Tbk,0,0,1158300,250000,0,40590920,0,0,55100,0,0,0,100,0,3379200,0,0,0,0,514745980,0,0,0,0,0,0,0,0,0,0,0,0,4271500,4180600,0,0,2168300,0,95867500,666667500
31-Mar-2026,NICE,ADHI KARTIKO PRATAMA Tbk,109900,0,0,0,0,0,0,0,1369500,138100,0,0,0,0,20000,0,0,0,0,5835938800,0,0,0,0,0,0,0,0,0,0,0,0,0,612100,0,0,0,0,243831600,6082020000
31-Mar-2026,NICK,CHARNIC CAPITAL Tbk,0,0,0,0,0,31500000,0,0,9700,0,0,0,100,0,0,0,0,0,0,518572500,0,0,0,0,0,0,0,0,0,0,0,0,0,60802200,0,0,0,0,40265500,651150000
31-Mar-2026,NICL,PAM MINERAL Tbk,56140841,0,50000,0,0,0,50879000,200000,3294400,34002,0,163800,2106900,0,0,0,0,18121300,0,224459200,0,0,0,0,0,0,0,0,0,0,0,0,12288200,24418857,12742700,552900,1840500,2800,2565849507,2973144907
